Gene	strand	SwitchScore	Tissue1	Tissue1Inc	Tissue2	Tissue2Inc	GeneDescription	chr	start	end	Event_hg18
RP11-432M24.2	-	0.34	liver	0.9	lymphNode	0.56	sorting nexin 5,Homo sapiens sorting nexin 5 (SNX5 Homo sapiens delta8-delta7 sterol isomerase related	chr13	49663056	49663195	chr13:49135194-49135332:-
ALG11,UTP14C	+	0.46	BT474	0.03	lymphNode	0.49	asparagine-linked glycosylation 11 homolog (S.,UTP	chr13	52024005	52024937	chr13:51496143-51497074:+
THSD1	-	0.44	adipose	0.56	colon	1.00	thrombospondin type I domain-containing 1,thrombo	chr13	52386027	52386186	chr13:51858164-51858322:-
KIAA0858,AK12345	+	0.71	brain	1	heart	0.29	LIM domain only 7,Homo sapiens mRNA for KIAA08	chr13	75805478	75805760	chr13:75277616-75277897:+
KIAA0858,AK12345	+	0.3	brain	1	heart	0.70	LIM domain only 7,Homo sapiens mRNA for KIAA0	chr13	75807479	75808199	chr13:75279617-75280336:+
FBXL3	-	0.58	breast	1	colon	0.42	F-box and leucine-rich repeat protein 3	chr13	77021512	77021861	chr13:76493649-76493997:-
RP11-155N3.2,DOC	-	0.9	adipose	0	brain	0.90	dedicator of cytokinesis 9,Homo sapiens mRNA for K	chr13	98808639	98808675	chr13:98258895-98258930:-
PHGDHL1	+	0.27	adipose	0.03	testes	0.30	CDNA PSEC0110 fis, clone PLACE1010021, highly	chr13	99201428	99201567	chr13:98651684-98651822:+
n/a	+	0.89	cerebellum	0.11	testes	1.00	n/a	chr14	100835735	100835879	chr14:100371826-100371969:+
n/a	+	0.9	cerebellum	0.1	testes	1.00	n/a	chr14	100835738	100835879	chr14:100371829-100371969:+
BC051442,PPP2R5	+	0.62	MB435	0.38	heart	1.00	NA	chr14	101917830	101917947	chr14:101453921-101454037:+
AK130824,WDR20	+	0.26	cerebellum	1	MB435	0.74	WD repeat domain 20 isoform 2,WD repeat domain	chr14	102194937	102195120	chr14:101731028-101731210:+
n/a	-	0.68	cerebellum	1	testes	0.32	n/a	chr14	102225094	102226408	chr14:101761185-101762498:-
CINP	-	0.25	cerebellum	1	skelMuscle	0.75	Homo sapiens from HeLa cyclin-dependent kinase 2	chr14	102349918	102350048	chr14:101886009-101886138:-
ANKRD9	-	0.77	cerebellum	1	breast	0.23	ankyrin repeat domain 9,ankyrin repeat domain 9,an	chr14	102508640	102508846	chr14:102044731-102044936:-
EIF5	+	0.27	cerebellum	1	lymphNode	0.73	eukaryotic translation initiation factor 5,eukaryotic tr	chr14	103334388	103334597	chr14:102870479-102870687:+
C14orf172	+	0.28	cerebellum	1	lymphNode	0.72	hypothetical protein LOC115708	chr14	103529949	103530309	chr14:103066040-103066399:+
C14orf153	+	0.58	BT474	1	brain	0.42	hypothetical protein LOC84334,Homo sapiens mRN	chr14	103571622	103571820	chr14:103107713-103107910:+
AK097119,KNS2	+	0.29	adipose	0.63	testes	0.92	Homo sapiens kinesin light chain 1S (KNS2) mRNA	chr14	103687080	103687211	chr14:103223171-103223301:+
n/a	-	0.25	BT474	0.65	MB435	0.90	n/a	chr14	103712874	103712931	chr14:103248965-103249021:-
C14orf173	+	0.82	MB435	0.18	liver	1.00	hypothetical protein LOC64423 isoform 2,hypothetic	chr14	104715283	104715340	chr14:104252666-104252722:+
JAG2	-	0.59	HME	0.41	T47D	1.00	jagged 2 isoform a precursor,jagged 2 isoform b prec	chr14	105150990	105151104	chr14:104688373-104688486:-
MTA1	+	0.53	cerebellum	1	testes	0.47	metastasis associated protein,Homo sapiens mRNA	chr14	105466706	105466742	chr14:105004089-105004124:+
MTA1	+	0.62	cerebellum	0.62	MB435	0.00	NA	chr14	105468337	105468349	chr14:105005720-105005731:+
n/a	-	0.6	lymphNode	1	testes	0.40	n/a	chr14	105669110	105669161	chr14:105206493-105206543:-
n/a	+	0.43	liver	0.89	lymphNode	0.46	n/a	chr14	20693546	20693650	chr14:20231546-20231649:+
RNASE1	-	0.67	adipose	0.14	brain	0.81	pancreatic ribonuclease precursor,pancreatic ribonu	chr14	20802248	20802319	chr14:20340248-20340318:-
RNASE1	-	0.67	adipose	0.13	brain	0.79	pancreatic ribonuclease precursor,pancreatic ribonu	chr14	20802248	20802331	chr14:20340248-20340330:-
NDRG2,KIAA1248	-	0.61	cerebellum	0.32	skelMuscle	0.94	NA	chr14	21022863	21022905	chr14:20560863-20560904:-
NDRG2,KIAA1248	-	0.56	HME	1	brain	0.44	N-myc downstream-regulated gene 2 isoform a,N-m	chr14	21023985	21024096	chr14:20561985-20562095:-
NDRG2,KIAA1248	-	0.47	HME	1	brain	0.53	N-myc downstream-regulated gene 2 isoform a,N-m	chr14	21024029	21024096	chr14:20562029-20562095:-
FLJ00056,FLJ1035	+	0.59	breast	1	lymphNode	0.41	hypothetical protein LOC55701,CDNA FLJ10357 fis,	chr14	21087319	21087463	chr14:20625319-20625462:+
METTL3	-	0.37	cerebellum	1	testes	0.63	methyltransferase like 3,Homo sapiens cDNA FLJ20	chr14	21500494	21500682	chr14:21038477-21038664:-
MRPL52	+	0.29	cerebellum	1	lymphNode	0.71	mitochondrial ribosomal protein L52 isoform a,mitoc	chr14	22833417	22833489	chr14:22372467-22372538:+
PRMT5	-	0.26	cerebellum	0.74	MCF7	1.00	protein arginine methyltransferase 5 isoform b,prote	chr14	22928496	22928615	chr14:22467546-22467664:-
KIAA0670,ACIN1	-	0.63	MCF7	0.67	heart	0.04	apoptotic 	chromatin condensation inducer 1,apoptoti	chr14	23067313	23068671	chr14:22606363-22607720:-
n/a	-	0.54	T47D	1	colon	0.46	embryonal Fyn-associated substrate isoform 1,embr	chr14	23360554	23360833	chr14:22899604-22899882:-
THTPA	+	0.71	T47D	1	colon	0.29	thiamine triphosphatase,thiamine triphosphatase,Ho	chr14	23556742	23557034	chr14:23095792-23096083:+
THTPA	+	0.72	T47D	1	colon	0.28	NA	chr14	23556742	23557039	chr14:23095792-23096088:+
THTPA	+	0.72	T47D	1	colon	0.28	NA	chr14	23556742	23557304	chr14:23095792-23096353:+
n/a	-	0.9	cerebellum	0.1	MCF7	1.00	n/a	chr14	23565815	23565892	chr14:23104865-23104941:-
PCK2	+	0.35	cerebellum	1	MCF7	0.65	mitochondrial phosphoenolpyruvate carboxykinase,m	chr14	24099994	24100213	chr14:23639044-23639262:+
DKFZp434D0516,W	+	0.26	cerebellum	1	HME	0.74	WD repeat domain 23 isoform 1,WD repeat domain	chr14	24116916	24117044	chr14:23655966-23656093:+
DKFZp434D0516,W	+	0.3	BT474	0.7	liver	1.00	WD repeat domain 23 isoform 1,WD repeat domain	chr14	24116971	24117044	chr14:23656021-23656093:+
TINF2	-	0.4	cerebellum	1	brain	0.60	TERF1 (TRF1)-interacting nuclear factor 2,TERF1-i	chr14	24241019	24241776	chr14:23780066-23780822:-
HCDI,C14orf124	-	0.28	cerebellum	1	lymphNode	0.72	hypothetical protein LOC56948,hypothetical protein	chr14	24441673	24441795	chr14:23980720-23980841:-
HCDI,C14orf124	-	0.49	cerebellum	1	lymphNode	0.51	hypothetical protein LOC56948,hypothetical protein	chr14	24442097	24442260	chr14:23981144-23981306:-
HCDI,C14orf124	-	0.51	cerebellum	1	lymphNode	0.49	NA	chr14	24442108	24442260	chr14:23981155-23981306:-
HCDI,C14orf124	-	0.4	cerebellum	1	lymphNode	0.60	hypothetical protein LOC56948,hypothetical protein	chr14	24442177	24442260	chr14:23981224-23981306:-
NOVA1	-	0.35	cerebellum	0.96	brain	0.61	NA	chr14	26472319	26472391	chr14:26011366-26011437:-
HECTD1,KIAA1131	-	0.26	cerebellum	0.74	breast	1.00	HECT domain containing 1,HECT domain containin	chr14	31128611	31129307	chr14:30667569-30668264:-
ARHGAP5	+	0.8	cerebellum	1	lymphNode	0.20	Rho GTPase activating protein 5 isoform b,Rho GTP	chr14	32090501	32094386	chr14:31629459-31633343:+
EAPP	-	0.4	breast	1	lymphNode	0.60	E2F-associated phosphoprotein	chr14	34529357	34529475	chr14:34068315-34068432:-
NIN,KIAA1565	-	0.52	cerebellum	1	lymphNode	0.48	ninein isoform 2,Homo sapiens mRNA for KIAA1565	chr14	50756491	50758630	chr14:50292960-50295098:-
CDKN3,AY257479	+	0.53	MB435	0.43	testes	0.96	cyclin-dependent kinase inhibitor 3,cyclin-dependent	chr14	54399893	54399976	chr14:53936362-53936444:+
CDKN3,AY257479	+	0.35	T47D	0.6	testes	0.94	cyclin-dependent kinase inhibitor 3,cyclin-dependent	chr14	54399898	54399976	chr14:53936367-53936444:+
SAMD4A,KIAA1053	+	0.63	cerebellum	0.2	skelMuscle	0.84	sterile alpha motif domain containing 4,sterile alpha	chr14	54737023	54737287	chr14:54273492-54273755:+
SAMD4A,KIAA1053	+	0.45	heart	0.51	testes	0.06	sterile alpha motif domain containing 4,sterile alpha	chr14	54784339	54784447	chr14:54320808-54320915:+
KTN1	+	0.34	HME	1	heart	0.66	COP9 constitutive photomorphogenic homolog kinectin 1 isoform a,kinectin 1 isoform a,kinectin 1 is	chr14	55663954	55664041	chr14:55200426-55200512:+
C14orf108	+	0.57	BT474	1	lymphNode	0.43	hypothetical protein LOC55745,Uncharacterized pro	chr14	57274243	57274889	chr14:56810715-56811360:+
AK025749,NAT12	+	0.63	cerebellum	1	brain	0.37	N-acetyltransferase 12,Homo sapiens cDNA: FLJ21	chr14	57390956	57391728	chr14:56927428-56928199:+
SYNE2,KIAA1011,D	+	0.95	skelMuscle	1	testes	0.05	Nesprin-2 (Nuclear envelope spectrin repeat protein	chr14	64215285	64215354	chr14:63751757-63751825:+
CHURC1	+	0.32	liver	0.69	testes	1.00	churchill domain containing 1,churchill domain conta	chr14	64926006	64926080	chr14:64462478-64462551:+
CHURC1	+	0.3	liver	0.7	skelMuscle	1.00	churchill domain containing 1,churchill domain conta	chr14	64926009	64926080	chr14:64462481-64462551:+
ACTN1	-	0.81	MCF7	1	colon	0.20	actinin, alpha 1,actinin, alpha 1,actinin, alpha 1,actini	chr14	68878988	68879069	chr14:68415459-68415539:-
DKFZp762G166,EX	+	0.63	cerebellum	1	breast	0.37	exonuclease 3'-5' domain-like 2,exonuclease 3'-5' do	chr14	69209423	69209803	chr14:68745894-68746273:+
C14orf112	-	0.43	BT474	1	lymphNode	0.57	hypothetical protein LOC51241	chr14	70342657	70342729	chr14:69879128-69879199:-
AX747833	-	0.46	BT474	0.47	T47D	0.93	numb homolog isoform 1,numb homolog isoform 3,n	chr14	73279280	73279424	chr14:72815742-72815885:-
AX747833	-	0.41	cerebellum	1	adipose	0.59	numb homolog isoform 1,numb homolog isoform 3,n	chr14	73284080	73284365	chr14:72820542-72820826:-
AX747833	-	0.36	cerebellum	1	MB435	0.65	numb homolog isoform 1,numb homolog isoform 3,n	chr14	73284080	73284374	chr14:72820542-72820835:-
n/a	-	0.38	cerebellum	0.62	adipose	1.00	n/a	chr14	73409936	73410068	chr14:72946398-72946529:-
ZADH1	+	0.31	cerebellum	1	MCF7	0.69	zinc binding alcohol dehydrogenase, domain,zinc bi	chr14	73879095	73879305	chr14:73415552-73415761:+
ZADH1,ZNF410	+	0.25	colon	1	testes	0.75	clones 23667 and 23775 zinc finger protein,Homo sa	chr14	73922065	73922206	chr14:73458522-73458662:+
COQ6	+	0.26	cerebellum	1	breast	0.74	coenzyme Q6 homolog isoform a,Homo sapiens CG	chr14	73961736	73961903	chr14:73498193-73498359:+
ABCD4,PMP69	-	0.33	cerebellum	0.68	BT474	1.00	ATP-binding cassette, sub-family D, member 4,Hom	chr14	74290026	74290118	chr14:73826483-73826574:-
RPS6KL1	-	0.38	cerebellum	0.62	testes	1.00	ribosomal protein S6 kinase-like 1,Homo sapiens cD	chr14	74907434	74907530	chr14:74443891-74443986:-
RPS6KL1	-	0.25	MCF7	1	BT474	0.75	ribosomal protein S6 kinase-like 1,Homo sapiens cD	chr14	74921977	74922485	chr14:74458434-74458941:-
n/a	-	0.32	HME	0.68	testes	0.36	placental growth factor, vascular endothelial,placent	chr14	74946212	74946275	chr14:74482669-74482731:-
ADCK1	+	0.4	breast	1	testes	0.60	aarF domain containing kinase 1,aarF domain contai	chr14	77925763	77925961	chr14:77461860-77462057:+
TTC8	+	0.31	MCF7	0.69	BT474	1.00	tetratricopeptide repeat domain 8 isoform B,tetratric	chr14	88875025	88875109	chr14:88411123-88411206:+
CHES1	-	0.4	adipose	0.52	skelMuscle	0.91	checkpoint suppressor 1,checkpoint suppressor 1,c	chr14	89190383	89190449	chr14:88726481-88726546:-
KIAA1509	-	0.35	BT474	0.46	lymphNode	0.81	KIAA1509 protein.	chr14	91285394	91285836	chr14:90821492-90821933:-
FAM14B	+	0.51	cerebellum	0.56	testes	0.05	hypothetical protein LOC122509,hypothetical protei	chr14	94097494	94097678	chr14:93633594-93633777:+
FAM14B	+	0.32	MCF7	1	BT474	0.69	hypothetical protein LOC122509,hypothetical protei	chr14	94101813	94102059	chr14:93637913-93638158:+
IFI27,P27	+	0.36	cerebellum	1	heart	0.64	interferon, alpha-inducible protein 27,Homo sapiens	chr14	94111624	94111773	chr14:93647724-93647872:+
IFI27,P27	+	0.37	cerebellum	1	heart	0.64	interferon, alpha-inducible protein 27,Homo sapiens	chr14	94111658	94111773	chr14:93647758-93647872:+
SERPINA1	-	0.87	HME	1	testes	0.13	serine (or cysteine) proteinase inhibitor, clade,serine	chr14	94388559	94388660	chr14:93924650-93924750:-
SERPINA1	-	0.87	HME	1	testes	0.13	serine (or cysteine) proteinase inhibitor, clade,serine	chr14	94388559	94388663	chr14:93924650-93924753:-
SERPINA1	-	0.31	T47D	0.62	lymphNode	0.93	serine (or cysteine) proteinase inhibitor, clade,serine	chr14	94388800	94389010	chr14:93924891-93925100:-
C14orf129,CR5970	+	0.32	MCF7	1	lymphNode	0.68	hypothetical protein LOC51527,hypothetical protein	chr14	96379687	96379788	chr14:95915778-95915878:+
PAPOLA	+	0.29	MB435	1	lymphNode	0.71	poly(A) polymerase alpha,poly(A) polymerase alpha	chr14	96562818	96562893	chr14:96098909-96098983:+
SETD3	-	0.47	adipose	0.53	lymphNode	1.00	SET domain containing 3 isoform a,SET domain con	chr14	99461191	99461340	chr14:98997282-98997430:-
RNB6,EVL,AX7471	+	0.31	breast	1	brain	0.70	Enah/Vasp-like,Enah/Vasp-like,Homo sapiens RNB	chr14	100137739	100137802	chr14:99673830-99673892:+
DEGS2	-	0.26	cerebellum	1	BT474	0.74	sphingolipid C4-hydroxylase/delta 4-desaturase	chr14	100148967	100149710	chr14:99685058-99685800:-
WARS	-	0.32	breast	1	MB435	0.69	tryptophanyl-tRNA synthetase isoform b,tryptophany	chr14	100369086	100369258	chr14:99905177-99905348:-
TJP1	-	0.8	brain	1	testes	0.20	tight junction protein 1 isoform a,tight junction protein	chr15	29719776	29720016	chr15:27799273-27799512:-
C15orf24,ORF3	-	0.34	cerebellum	1	liver	0.66	chromosome 15 open reading frame 24,Homo sapi	chr15	34095894	34096009	chr15:32175388-32175502:-
C15orf24,ORF3	-	0.3	cerebellum	1	liver	0.70	chromosome 15 open reading frame 24,Homo sapi	chr15	34095894	34096014	chr15:32175388-32175507:-
AGPAT7	-	0.34	MCF7	0.66	HME	1.00	PLSC domain containing protein	chr15	34361399	34361532	chr15:32440893-32441025:-
BMF	-	0.27	BT474	0.73	lymphNode	1.00	Bcl2 modifying factor isoform bmf-1,Bcl2 modifying f	chr15	40104179	40104340	chr15:38183673-38183833:-
ZFYVE19	+	0.56	cerebellum	0.45	breast	1.00	zinc finger, FYVE domain containing 19,Zinc finger F	chr15	40812698	40812902	chr15:38892189-38892392:+
CCNDBP1,DIP1	+	0.42	cerebellum	1	BT474	0.58	cyclin D-type binding-protein 1 isoform 1,cyclin D-typ	chr15	43185819	43186233	chr15:41265310-41265723:+
SERF2,AK022435,	+	0.31	cerebellum	1	breast	0.69	Huntingtin interacting protein K,CDNA FLJ20431 fis,	chr15	43791975	43792355	chr15:41871466-41871845:+
CASC4	+	0.44	cerebellum	1	T47D	0.57	cancer susceptibility candidate 4 isoform a,cancer su	chr15	44402886	44403054	chr15:42482377-42482544:+
SHF	-	0.98	HME	0.02	brain	1.00	Homo sapiens cDNA FLJ37072 fis, clone BRACE20	chr15	45173575	45173716	chr15:43253066-43253206:-
KIAA1341,MYEF2	-	0.29	cerebellum	0.13	testes	0.42	myelin gene expression factor 2,Homo sapiens mR	chr15	48151099	48151171	chr15:46230589-46230660:-
SLTM	-	0.35	breast	1	testes	0.65	modulator of estrogen induced transcription,modulat	chr15	58899468	58899883	chr15:56978960-56979374:-
SLTM	-	0.34	breast	1	testes	0.66	coiled-coil domain containing 95,coiled-coil domain c modulator of estrogen induced transcription,modulat	chr15	58899468	58899937	chr15:56978960-56979428:-
NARG2,BRCC1	-	0.34	HME	1	MB435	0.67	NMDA receptor regulated 2 isoform b,NMDA recept	chr15	60477936	60478069	chr15:58557428-58557560:-
AK055197,TPM1	+	0.93	colon	0.95	heart	0.02	tropomyosin 1 alpha chain isoform 6,Homo sapiens	chr15	63043705	63043831	chr15:61122958-61123083:+
AK055197,TPM1	+	0.94	MCF7	1	colon	0.06	tropomyosin 1 alpha chain isoform 6,Homo sapiens	chr15	63044026	63044152	chr15:61123279-61123404:+
AK055197,TPM1	+	0.94	MCF7	1	colon	0.06	tropomyosin 1 alpha chain isoform 6,Homo sapiens	chr15	63044056	63044152	chr15:61123309-61123404:+
AK055197,TPM1	+	0.99	MCF7	1	heart	0.01	tropomyosin 1 alpha chain isoform 6,Homo sapiens	chr15	63061197	63061273	chr15:61140450-61140525:+
AK055197,TPM1	+	0.97	cerebellum	1	T47D	0.03	tropomyosin 1 alpha chain isoform 6,Homo sapiens	chr15	63061712	63061788	chr15:61140965-61141040:+
AK055197,TPM1	+	0.49	breast	1	colon	0.51	tropomyosin 1 alpha chain isoform 6,Homo sapiens	chr15	63064063	63064142	chr15:61143316-61143394:+
AK055197,TPM1	+	0.52	breast	1	colon	0.48	tropomyosin 1 alpha chain isoform 6,Homo sapiens	chr15	63064063	63064190	chr15:61143316-61143442:+
CA12	-	0.36	HME	0.65	T47D	1.00	carbonic anhydrase XII isoform 1 precursor,carbonic	chr15	63328097	63328130	chr15:61407350-61407382:-
KIAA0101	-	0.27	BT474	0.73	MB435	1.00	hypothetical protein LOC9768 isoform 1,hypothetica	chr15	64376742	64376905	chr15:62455995-62456157:-
SPG21	-	0.58	BT474	0.38	testes	0.96	spastic paraplegia 21,spastic paraplegia 21, LYRM1		chr16:20834379-20834537:+	0.58	 breast	1.00	 heart	0.43	LYR motif containing 1,LYR motif containing 1,	chr15	64983506	64983593	chr15:63062898-63062984:-
SNAPC5	-	0.57	MB435	1	lymphNode	0.43	small nuclear RNA activating complex, n/a		chr22:37021339-37021399:-	0.57	MB435	0.06		T47D	0.63	n/a	chr15	66495329	66495419	chr15:64574722-64574811:-
KIF23	+	0.62	T47D	0.38	testes	1.00	NA	chr15	69440767	69441079	chr15:67520161-67520472:+
DKFZp566D244,PA	-	0.56	cerebellum	0.56	MCF7	0.00	poly (ADP-ribose) polymerase family, member 6,Ho	chr15	72249244	72249314	chr15:70328640-70328709:-
DKFZp566D244,PA	-	0.48	cerebellum	1	MCF7	0.52	poly (ADP-ribose) polymerase family, member 6,Ho	chr15	72250844	72250954	chr15:70330240-70330349:-
CD276	+	0.3	BT474	1	colon	0.70	CD276 antigen isoform b,CD276 antigen isoform b,	chr15	73699585	73699718	chr15:71778980-71779112:+
STOML1	-	0.32	brain	1	testes	0.68	stomatin (EPB72)-like 1,stomatin (EPB72)-like 1,sto	chr15	73984658	73984868	chr15:72064053-72064262:-
STOML1	-	0.32	adipose	1	testes	0.68	stomatin (EPB72)-like 1,stomatin (EPB72)-like 1,sto	chr15	73984658	73984871	chr15:72064053-72064265:-
STOML1	-	0.26	MB435	1	adipose	0.74	stomatin (EPB72)-like 1,stomatin (EPB72)-like 1,sto	chr15	73989107	73989257	chr15:72068502-72068651:-
MPI	+	0.6	BT474	1	MB435	0.40	Mannose phosphate isomerase isoform.	chr15	74890437	74890654	chr15:72969832-72970048:+
MPI	+	0.41	breast	1	MB435	0.59	Mannose phosphate isomerase isoform.	chr15	74890526	74890654	chr15:72969921-72970048:+
MPI	+	0.5	MB435	0.5	T47D	1.00	Mannose phosphate isomerase isoform.	chr15	74890552	74890654	chr15:72969947-72970048:+
MPI	+	0.5	MB435	0.5	T47D	1.00	Mannose phosphate isomerase isoform.	chr15	74890555	74890654	chr15:72969950-72970048:+
MPI	+	0.32	breast	1	lymphNode	0.68	Mannose phosphate isomerase isoform.	chr15	74897010	74897219	chr15:72976405-72976613:+
C15orf17	-	0.41	BT474	1	lymphNode	0.59	hypothetical protein LOC57184,hypothetical protein	chr15	74906277	74906365	chr15:72985672-72985759:-
PPCDC	+	0.7	BT474	0.3	T47D	1.00	phosphopantothenoylcysteine decarboxylase	chr15	75028246	75028453	chr15:73107641-73107847:+
ETFA	-	0.38	MCF7	0.62	brain	1.00	electron transfer flavoprotein, alpha,electron transfer	chr15	76295590	76295737	chr15:74374987-74375133:-
CIB2	-	0.41	adipose	0.56	testes	0.98	DNA-dependent protein kinase catalytic,CIB2 protein	chr15	78123704	78123739	chr15:76203102-76203136:-
PSMA4	+	0.28	MCF7	1	colon	0.72	proteasome alpha 4 subunit,PSMA4 protein.,PSMA	chr15	78542482	78542645	chr15:76621880-76622042:+
EEN-B2-L1,SH3GL	+	0.91	brain	0.09	testes	1.00	SH3-domain GRB2-like 3,Homo sapiens EEN-B2-L1	chr15	83609269	83609466	chr15:82069026-82069222:+
KLHL25	-	0.34	cerebellum	1	adipose	0.66	BTB/POZ KELCH domain protein	chr15	85768016	85769820	chr15:84112252-84114055:-
MFGE8	-	0.46	MCF7	0.54	brain	1.00	milk fat globule-EGF factor 8 protein,milk fat globule	chr15	88899655	88899811	chr15:87243891-87244046:-
FES	+	0.27	breast	0.73	adipose	1.00	V-FES feline sarcoma viral/V-FPS fujinami avian,V-	chr15	90890981	90891191	chr15:89235216-89235425:+
LYSMD4	-	0.52	cerebellum	1	testes	0.49	LysM, putative peptidoglycan-binding, domain,Homo	chr15	99731717	99732007	chr15:98089446-98089735:-
CACNA1H	+	0.38	adipose	0.63	testes	0.25	calcium channel, voltage-dependent, T type,,calcium	chr16	1212510	1212528	chr16:1202512-1202529:+
CLCN7	-	0.25	cerebellum	1	BT474	0.75	chloride channel 7,chloride channel 7,Homo sapiens	chr16	1465266	1465338	chr16:1455269-1455340:-
NTAN1	-	0.54	MB435	0.81	lymphNode	0.27	N-terminal Asn amidase	chr16	15047996	15048099	chr16:15049355-15049457:-
KIAA0430	-	0.45	cerebellum	1	colon	0.55	limkain b1,limkain b1,	chr16	15625371	15625800	chr16:15626730-15627158:-
NDE1,AX747846	+	0.38	MB435	1	testes	0.62	nuclear distribution gene E homolog 1,nuclear distrib	chr16	15699728	15699854	chr16:15701087-15701212:+
MYH11,KIAA0866	-	0.28	colon	0.91	testes	0.63	smooth muscle myosin heavy chain 11 isoform,smo	chr16	15708802	15708841	chr16:15710161-15710199:-
PHSECRG2,C16orf	-	0.39	breast	1	liver	0.61	hypothetical protein LOC123811,Homo sapiens cDN	chr16	15884007	15884205	chr16:15885366-15885563:-
NUBP2	+	0.41	MCF7	0.46	lymphNode	0.87	nucleotide binding protein 2 (MinD homolog, E.,Hom	chr16	1786737	1786955	chr16:1776740-1776957:+
NUBP2	+	0.39	MCF7	0.5	lymphNode	0.89	nucleotide binding protein 2 (MinD homolog, E.,Hom	chr16	1786756	1786955	chr16:1776759-1776957:+
HAGH	-	0.38	cerebellum	1	lymphNode	0.62	hydroxyacyl glutathione hydrolase isoform 2,hydroxy	chr16	1819114	1819223	chr16:1809117-1809225:-
CP110,KIAA0419	+	0.52	cerebellum	0.22	MB435	0.75	CP110 protein,Homo sapiens KIAA0419 mRNA, part	chr16	19525718	19525861	chr16:19444542-19444684:+
MGC16824,DKFZp4	+	0.27	cerebellum	1	brain	0.73	hypothetical protein LOC57020,hypothetical protein	chr16	19650381	19650459	chr16:19569205-19569282:+
